Companies,URL,Description,Industry,Latest Funding Round,Latest Funding Date,Total Funding,All Investors,Latest Valuation,Latest Funding Amount,Exit Round,Exit Date,Acquirers,Mosaic (Overall),Date Added,Country,Applications,Text,Speech & audio,Code,Visual media
Verse,verse.inc,"Verse specializes in corporate decarbonization through intelligent software solutions within the clean energy sector. The company offers a platform named Aria that assists businesses in optimizing their clean power procurement and management, aiming to reduce costs, manage risks, and facilitate data-informed decisions. Verse primarily serves sectors that are actively seeking to transition to clean energy and reduce their carbon footprint. It was founded in 2022 and is based in San Francisco, California.",Industrials,Series A,22/05/2024,31.25,"Climate Capital, Coatue, Collaborative Fund, Firstminute Capital, Future Positive Capital, Incite Ventures, MCJ Collective, Twine Ventures, CIV, Google Ventures",64.79,20.5,,,,670,12/10/2023,United States,Energy,x, , , 
Exa,exa.ai,"Exa specializes in search technology and operates within the artificial intelligence (AI) and search engine sectors. It offers an application programming interface (API) that leverages embeddings-based search to retrieve and understand web content, catering to applications that require a semantic understanding of queries. Its API is designed to serve the AI development community, providing tools for tasks such as competitor analysis, news summarization, and research report generation. It was formerly known as Metaphor. The company was founded in 2021 and is based in San Francisco, California.",Horizontal applications,Series A,16/07/2024,19.63,"Soma Capital, Pioneer Fund, TSVC, Y Combinator, Lightspeed Venture Partners, NVentures",64.49,17,,,,669,21/02/2024,United States,General search,,,,
Synthesis AI,synthesis.ai,"Synthesis AI specializes in synthetic data and generative artificial intelligence (AI) technology for the computer vision and machine learning sectors. The company provides simulation and synthetic data solutions to create privacy-compliant, unbiased datasets for various applications, including biometrics, security, and autonomous systems. Synthesis AI's offerings are utilized across industries such as automotive, consumer electronics, and security to enhance AI model training and development. It was founded in 2019 and is based in San Francisco, California.",Horizontal applications,Series A,19/04/2022,26.13,"Plug and Play, Bee Partners, Boom Capital Ventures, Kubera Venture Capital, Leta Capital, PJC, Swift Ventures, iRobot Ventures, 468 Capital, Alumni Ventures, Sorenson Ventures, Strawberry Creek Ventures",63.41,17,,,,531,04/10/2023,United States,Synthetic training data, , , ,x
Predibase,predibase.com,"Predibase specializes in fine-tuning and serving large language models (LLMs) within the artificial intelligence and machine learning industries. The company provides a platform for developers to efficiently train and deploy task-specific open-source LLMs using optimized techniques such as quantization, low-rank adaptation, and memory-efficient distributed training. Predibase's infrastructure supports scalable managed deployments in both private clouds and their own serverless environment. It was founded in 2021 and is based in San Francisco, California.",,Series A - II,31/05/2023,28.45,"Sancus Ventures, Anthony Goldbloom, Ben Hamner, FactoryHQ, Greylock Partners, Remi El-Ouazzane, Varun Badhwar, Yi Wang, Zoubin Ghahramani, Felicis",63.29,12.2,,,,688,15/03/2024,United States,,,,,
The AI Foundation,aifoundation.com,"The AI Foundation focuses on artificial intelligence research and development in the technology sector. They specialize in creating synthetic media, digital humans, and conversation generation technologies that enable personalized AI experiences. The company primarily serves the personal, commercial, and philanthropic sectors with their AI solutions. It was founded in 2017 and is based in San Francisco, California.",Horizontal applications,Series B,30/07/2020,27,"Abstract Ventures, Biz Stone, Endeavor, Founders Fund, The Brandtech Group, Alpha Edison, Mousse Partners",62,17,,,,502,04/10/2023,United States,Enterprise AI avatars, , , ,x
ayfie Group,ayfie.com,"Ayfie Group specializes in AI-powered enterprise search solutions and insight engines for various data types. The company offers a platform that connects to data sources, extracts, indexes, and structures data, making it accessible and interactive for businesses and individuals. Ayfie's main offerings include an advanced search platform that integrates with business applications and a personal assistant powered by generative AI, designed to enhance productivity and data insights. It is based in Oslo, Norway.",Horizontal applications,Convertible Note,05/04/2020,30.88,,59.61,9.88,IPO,07/07/2020,,,21/02/2024,Norway,Productivity & knowledge management,,,,
Anyword,anyword.com,"Anyword is a company that focuses on artificial intelligence and operates in the marketing sector. The company offers an AI Performance Writing platform that enables marketers to create scalable, on-brand content that is designed to convert and drive sales. It primarily serves the marketing industry. Anyword was formerly known as Keywee. It was founded in 2013 and is based in New York, New York.",Horizontal applications,Series B,18/11/2021,30.1,"UpWest, Innovation Endeavors, Marker, The New York Times Company, Amir Orad, Gandyr Group, Howard Lerman, LEAD Capital, Michael Ronen, Nir Eyal, Omri Kaplan, Tomer Cohen, Yossi Matias",58.48,21,,,,594,04/10/2023,United States,Social media & marketing content,x, , , 
WellSaid Labs,wellsaidlabs.com,"WellSaid Labs is a technology company that focuses on AI text-to-speech technology in the synthetic media industry. The company offers a platform that turns text into high-quality voice overs, providing a wide variety of voice styles, accents, and languages. It primarily serves creators, product developers, and brands, enhancing their stories and digital experiences. It was founded in 2019 and is based in Seattle, Washington.",Horizontal applications,Series A,07/07/2021,12,"Allen Institute for Artificial Intelligence, AI2 Incubator, Voyager Capital, FUSE, Good Friends, Qualcomm Ventures",58.34,10,Spinoff / Spinout,07/03/2019,,529,04/10/2023,United States,Voice synthesis & cloning, ,x, , 
Rohirrim,rohirrim.ai,"Rohirrim specializes in RFP automation using generative AI technology within the aerospace, defense, and Fortune 1000 business sectors. The company's main offerings include organization-specific data to produce accurate RFP responses. Rohirrim primarily serves enterprises in the B2B, defense contracting, government procurement, and higher education sectors. It was founded in 2022 and is based in Reston, Virginia.",Horizontal applications,Series A - II,10/07/2024,17.5,"General Purpose Venture Capital, Insight Partners, Bessemer Venture Partners, IBM Ventures",58.81,,,,,706,02/01/2024,United States,Productivity & knowledge management,x, , , 
Groundlight AI,groundlight.ai,"Groundlight AI specializes in computer vision technology within the machine learning and artificial intelligence sectors. The company offers a platform that allows users to interpret images and receive answers to visual questions through a simple API, using natural language queries without the need for pre-existing datasets. Groundlight AI primarily serves sectors that require industrial inspection, retail analytics, and mobile robotics. Groundlight AI was formerly known as Positronix. It was founded in 2019 and is based in Seattle, Washington.",Horizontal applications,Seed VC,19/04/2023,10,"Ascend Angels, Essence VC Fund, Flying Fish Venture Partners, Founders' Co-op, Greycroft, Madrona Venture Group",57.09,10,,,,648,20/02/2024,United States,,,,,
Rockset,rockset.com,"Rockset provides a platform for indexing databases. It builds converged indexes on transactional data from other databases and event data from streams and supports schemaless ingest built-in transformations, and declarative structured query language (SQL). It is used for building data applications that make intelligent decisions on real-time data. It was founded in 2016 and is based in San Mateo, California. In June 2024, Rockset was acquired by OpenAI.",,Series C - II,31/01/2024,110.5,"Greylock Partners, Sequoia Capital, K5 Global Technology, Four Rivers Capital, Glynn Capital Management, Greylock Capital Management, Icon Ventures, Hewlett Packard Pathfinder, OpenAI",54.71,,Acquired,21/06/2024,OpenAI,,23/08/2024,United States,,,,,
Espresso AI,espresso.ai,"Espresso AI specializes in optimizing snowflake compute resources using generative AI within the cloud computing industry. The company offers services that automatically analyze and optimize queries sent to snowflake, as well as predictive warehouse optimization to manage warehouses and maximize performance while minimizing costs. Espresso AI primarily serves sectors that utilize cloud data warehousing and analytics platforms. It was founded in 2023 and is based in New York, New York",Horizontal applications,Seed,07/05/2024,11.25,"Matt Turck, AI Grant, Daniel Gross, Nat Friedman",53.65,11,,,,689,21/02/2024,United States,,,,,
ZERO Systems,hercules.ai,"ZERO Systems specializes in enterprise AI solutions, focusing on automating complex workflows within various business sectors. The company offers products that enhance document intelligence, policy enforcement, data transformation, and compliance automation, aiming to streamline enterprise operations. ZERO Systems primarily serves industries such as insurance, legal services, banking & finance, wealth management, and HR & workforce. ZERO was formerly known as Mailfeed. It was founded in 2014 and is based in Campbell, California.",Horizontal applications,Series B,30/05/2024,55.43,"Neman Ventures, NFX, Julius Zegelman, AltaIR Capital, One Way Ventures, Streamlined Ventures, 468 Capital, AiSprouts VC, Chaos Ventures, Gutbrain Ventures, PBJ Capital, Paul Grewal, S16VC, Thomson Reuters Ventures, Flyer One Ventures, PROOF, Vision Capital, Davidovs Venture Collective, Alumni Ventures, PROOF",51.94,26.11,,,,756,21/02/2024,United States,,,,,
Numbers Station,numbersstation.ai,"Numbers Station develops a data stack automation platform built on proprietary foundation model technology. It enables data practitioners to automate workflows. The company offers an enterprise language model that allows users to use natural language to extract value from their data, generate insights and reports, and train private artificial intelligence (AI) models. It primarily serves the data automation sector. It was founded in 2021 and is based in Austin, Texas.",Generative AI infrastructure,Series A,20/03/2023,17.5,"Factory, Firestreak, Jeff Hammerbacher, Madrona Venture Group, Norwest Venture Partners",51.46,12.5,,,,617,21/02/2024,United States,LLMOps,,,,
Rosebud AI,rosebud.ai,"Rosebud AI specializes in generative AI technology for the gaming industry, focusing on streamlining the game development process. The company offers a suite of AI-driven tools that enable users to create game assets, animate avatars, and develop games using natural language inputs. Rosebud AI primarily serves the game development community with its innovative AI-powered solutions. It was founded in 2019 and is based in Oakland, California.",Virtual worlds & gaming,Seed VC - II,21/12/2021,8.98,"Lattice Capital, Mehta Ventures, Soma Capital, VenTek Ventures, L'Oreal, Y Combinator, Foothill Ventures, Khosla Ventures, Animoca Brands, PKO Investments, Sfermion",50,6.6,,,,584,04/10/2023,United States,Virtual worlds & game assets, , , ,x
Ello,ello.com,"Ello is a company focused on enhancing early childhood literacy through technology, operating in the educational technology sector. Its main offerings include a digital reading coach app that uses adaptive learning technology to provide personalized reading support for children from Kindergarten to 3rd Grade. Ello's products are designed to assist young readers in becoming confident and independent by offering decodable electronic-books and an interactive reading buddy that listens and responds to the child's reading. It was founded in 2019 and is based in San Francisco, California.",Education,Series A,07/09/2023,15.13,"Elysium Venture Capital, Goodwater Capital, Homebrew, Human Capital, K9 Ventures, Khosla Ventures, Project A Ventures, Reach Capital, UpHonest Capital, Victress Capital, Visible Ventures, WndrCo, Y Combinator, AWS Generative AI Accelerator, Common Sense Media, Ravensburger, Reed Hastings",50.92,15,,,,644,04/10/2023,United States,,x, , , 
Pictory,pictory.ai,"Pictory is a company specializing in AI-powered video creation for various professional sectors including content marketing and education. The company offers a platform that transforms text, scripts, and blog posts into professional-quality videos with AI voices, footage, and music, without the need for video editing experience. Pictory's services are primarily utilized by content creators, educators, digital marketers, and enterprise teams seeking efficient video content production. It was founded in 2019 and is based in Bothell, Washington.",Horizontal applications,Seed VC - II,24/03/2023,4.72,"Bharat Shyam, Bill Bryant, FUSE, Omri Bahat, Voyager Capital",50,2.62,,,,613,04/10/2023,United States,Visual ads & marketing, , , ,x
UneeQ,digitalhumans.com,"UneeQ provides an intelligent digital human platform making digital conversations more human. UneeQ enables companies to reimagine the customer experience through a conversational artificial intelligence (AI) platform designed around leveraging the 'human touch' to create better customer experiences. UneeQ was formerly known as FaceMe. The company was founded in 2009 and is based in Austin, Texas.",Horizontal applications,Incubator/Accelerator,16/10/2023,10,"Alium Capital, ICE Angels, NZ Growth Capital Partners, Richard Socher, Sir Stephen Tindall, Navigate Ventures, Comcast NBCUniversal LIFT Labs Generative AI Accelerator",50,,,,,536,04/10/2023,United States,Enterprise AI avatars, , , ,x
Qdrant,qdrant.tech,"Qdrant focuses on providing vector similarity search technology, operating in the artificial intelligence and database sectors. The company offers a vector database and vector search engine, which deploys as an API service to provide a search for the nearest high-dimensional vectors. This technology allows embeddings or neural network encoders to be turned into applications for matching, searching, recommending, and more. Qdrant primarily serves the artificial intelligence applications industry. It was founded in 2021 and is based in Berlin, Germany.",Generative AI infrastructure,Series A,23/01/2024,37.79,"MK Venture Capital, 42CAP, IBB Beteiligungsgesellschaft, Amr Awadallah, Unusual Ventures, Spark Capital",50,28,,,,763,04/10/2023,Germany,Vector databases, , , , 
Iguazio,iguazio.com,"Iguazio provides a platform to develop, deploy, and manage artificial intelligence (AI) applications. It develops a machine-learning operations platform that helps businesses by analyzing data from a variety of sources. The company was founded in 2014 and is based in Herzliya, Israel. In January 2023, Iguazio was acquired by McKinsey & Company at a valuation of $50M.",Generative AI infrastructure,Series D,27/01/2020,72,"NVIDIA Inception Program, Finberg, Jerusalem Venture Partners, Magma Venture Partners, CME Ventures, Dell Technologies Capital, Pitango Venture Capital, Robert Bosch Venture Capital, Verizon Ventures, Samsung Ventures, INcapital Ventures, Kensington, Plaza Ventures, Samsung SDS, Silverton Partners, McKinsey & Company",50,24,Acquired,23/01/2023,McKinsey & Company,,25/01/2024,Israel,LLMOps, , , , 
BlueFlame,blueflame.ai,"BlueFlame specializes in integrating artificial intelligence into the operations of alternative investment managers within the financial sector. The company offers a platform that leverages Large Language Models for efficiency and data integration, supported by a team with extensive experience in the alternatives industry. BlueFlame collaborates closely with clients to address workflow challenges and optimize data utilization, paving the way for the adoption of generative AI technologies. It was founded in 2023 and is based in New York, New York.",Finance,Seed,25/06/2024,5,FinTech Sandbox,50,5,,,,683,21/02/2024,United States,,,,,
Redesign Science,redesignscience.com,"Redesign Science is a platform biotech company that focuses on the intersection of physics-based molecular simulation and deep learning within the drug discovery industry. The company offers a technology platform that combines physics simulation with generative AI to develop first-in-class small molecule Targeted Protein Interaction Modulators, aiming to control cellular biology using small molecules. Redesign Science primarily serves the pharmaceutical and biotech industries. It was founded in 2017 and is based in New York, New York.",Healthcare & life sciences,Seed VC - III,08/12/2021,17,"5Y Capital, Notation Capital, Refactor Capital, Third Kind Venture Capital, Thomas Weingarten, Acequia Capital, Collaborative Fund, Hawktail, Preface Ventures, Kaitai Capital, Morningstar, ZhenFund",50,10,,,,391,21/02/2024,United States,Protein & drug design,,,,
Espressive,espressive.com,"Espressive focuses on artificial intelligence (AI) driven digital workplace assistance, operating in the enterprise software industry. The company's main offering is Espressive Barista, a virtual support agent that automates employee self-help through conversational AI and a proprietary large language model known as the Employee Language Cloud. Espressive primarily serves sectors such as information technology (IT), human resources (HR), and facilities within various enterprises, providing solutions for cost containment and enhancing employee experiences. It was founded in 2016 and is based in Santa Clara, California.",,Incubator/Accelerator,02/05/2024,53,"General Catalyst, Wing Venture Capital, Insight Partners, Plug and Play McKinney",49.05,,,,,566,23/08/2024,United States,,,,,
Lavender,lavender.ai,"Lavender is a company specializing in AI-driven email optimization for the sales sector. It offers a suite of tools that provide real-time coaching, personalization suggestions, and scoring systems to improve the effectiveness of sales emails and increase reply rates. Lavender's solutions are designed to integrate with popular email platforms, streamline the email writing process, and accelerate sales pipeline development. It was founded in 2020 and is based in New York, New York.",Horizontal applications,Series A,02/02/2023,13.2,"Asymmetric, Alex Lieberman, Arash Ferdowsi, Braydan Young, CapitalX, Position Ventures, Signia Venture Partners, Troy Osinoff, Norwest Venture Partners",48.81,11,,,,507,04/10/2023,United States,Sales email & outreach,x, , , 
LegalMation,legalmation.com,"LegalMation focuses on providing artificial intelligence solutions in the legal sector and offers a suite of generative AI tools that help litigation attorneys and other legal professionals by dynamically producing formatted legal documents such as responsive pleadings, discovery requests, and responses, all tailored to the specific legal case at hand. LegalMation primarily serves corporate legal departments and law firms. It was founded in 2016 and is based in Los Angeles, California.",Legal,Series A,25/10/2023,23.63,"Bridge Investments, REV Venture Partners, Relativity, Paycheck Protection Program, Aquiline Capital Partners, Brentwood Investments, Key Venture Partners, Motley Fool Ventures, Quick Set",48.13,15,,,,673,02/01/2024,United States,Case search & summarization,x, , , 
Valence,valencediscovery.com,"Valence specializes in AI-enabled drug design and discovery. It uses AI and physics-based technologies to help design differentiated small molecules. The company serves research and development (R&D) organizations in the drug design industry. It was founded in 2018 and is based in Montreal, Canada. In May 2023, Valence was acquired by Recursion at a valuation of $47.5M.",Healthcare & life sciences,Seed VC,15/12/2021,8.62,"Techstars Montreal AI Accelerator, Air Street Capital, Amplitude Ventures, Fifty Years, Jonathan Milner, Phoenix Venture Partners, Recursion",47.5,7,Acquired,08/05/2023,Recursion,,04/10/2023,Canada,Protein & drug design,x, , ,x
Topline Pro,toplinepro.com,"Topline Pro focuses on providing technological solutions for home service professionals and small businesses. The company operates in the domain of generative artificial intelligence (AI) and digital marketing. It offers a range of services including the creation of custom, search engine optimization (SEO) optimized websites, social media automation, and online payment facilitation. Its services are designed to enhance the online presence of businesses and improve their discoverability, and their booking and payment processes. It was formerly known as Prophone. It was founded in 2020 and is based in New York, New York.",Horizontal applications,Series A,31/07/2023,17.13,"Flybridge Capital Partners, Y Combinator, BBG Ventures, Bonfire Ventures, Songe LaRon, TMV, The Graduate Syndicate, Forerunner Ventures",46.58,12,,,,496,04/10/2023,United States,Website & app builder, , ,x, 
Murf AI,murf.ai,"Murf AI is a company that focuses on artificial intelligence in the audio technology industry. The company offers a versatile AI voice generator that converts text to speech, creating lifelike voice overs in a variety of languages. This service is primarily used by content creators, educators, marketers, and businesses in sectors such as e-learning, advertising, and customer support. It was founded in 2020 and is based in Salt Lake City, Utah.",Horizontal applications,Series A,21/09/2022,11.5,"Ashish Goel, Elevation Capital, Kashyap Deorahe, Sanjeev Barnwal, Vidit Aatrey, Anand Chandrasekaran, Ankit Bhai, Ashwini Asokan, Pushkar Mukewar, Yamini Bhat, Z47",45.61,10,,,,660,04/10/2023,United States,Voice synthesis & cloning, ,x, , 
Fixie,fixie.ai,"Fixie focuses on the development of conversational artificial intelligence (AI). It involves building AI agents, referred to as sidekicks, that can answer questions, perform actions, and integrate directly with applications. These AI agents are designed to fetch real-time information, interact with external systems, and handle various forms of media, including text, images, and video. The company was founded in 2022 and is based in Seattle, Washington.",Generative AI infrastructure,Seed VC - II,30/03/2023,22,"Zetta Venture Partners, Bloomberg Beta, Kearny Jackson, Madrona Venture Group, Redpoint Ventures, SignalFire",45.35,17,,,,590,04/10/2023,United States,LLMOps, , , , 
Copy.AI,copy.ai,"Copy.AI develops an artificial intelligence copywriter. The company offers a platform that generates marketing copy, automates workflows, and provides tools for content creation in various formats such as long-form articles, social media posts, product descriptions, and more. It primarily serves sectors such as electronic commerce, social media, and sales. The company was founded in 2020 and is based in Memphis, Tennessee.",Horizontal applications,Convertible Note,03/11/2023,19.82,"Hustle Fund, Atelier Ventures, Craft Ventures, Sequoia Capital, Unpopular Ventures, Wing Venture Capital, K5 Global Technology",41.83,3,,,,673,04/10/2023,United States,Social media & marketing content,x, , , 
BOOLV,boolv.tech,"BOOLV Tech provides SaaS software technology services for e-commerce clients, focusing on data and AI applications. The platform utilizes AI and marketing data for short video production and marketing services. The company was founded in 2021 and is based in Shenzhen, China.",Retail & supply chain,Series A,01/03/2022,10,"Decent Capital, Linear Venture, UpHonest Capital, Volcanics Venture",40,10,,,,394,04/10/2023,China,Social media & marketing content,x, ,x,x
Fotor,fotor.com,"Fotor is a company that specializes in graphic design and photo editing, operating in the technology and digital media industry. The company offers a range of services including online photo editing, image enhancement, collage making, and the creation of graphics content. Its products are primarily used by photographers, marketers, bloggers, and social media enthusiasts. It is based in Chengdu, Sichuan.",Horizontal applications,Series B,30/08/2017,10.58,"Legend Capital, Legend Star, Lenovo Capital and Incubator Group, GF Securities",37.2,7.58,,,,,04/10/2023,China,Images & NFTs, , , ,x
LlamaIndex,llamaindex.ai,"LlamaIndex offers a data framework for connecting custom data sources to large language models (LLMs). Its data framework connects custom data sources to large language models that connect unstructured, structured, and semi-structured data sources, assisting businesses to build end-user applications. The company was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Seed VC,06/06/2023,8.5,"Greylock Partners, Jack Altman, Joey Gonzalez, Lenny Rachitsky, Mathilde Collin, Raquel Urtasun, Recursion Venture Capital",37.63,8.5,,,,792,21/02/2024,United States,LLMOps, , , , 
Klleon,klleon.io,"Klleon is a company that focuses on revolutionizing digital communication using advanced artificial intelligence technology in the tech industry. The company's main service involves recreating the face, body, and voice of a digital human from a single photo and a 30-second audio recording, closely resembling a real person. Klleon primarily sells to sectors of the economy that require digital communication. It was founded in 2019 and is based in San Mateo, California.",Horizontal applications,Private Equity,08/12/2021,3.51,"ZER01NE, Bluepoint Partners, TIPS Program, Kakao Investment, SU&Financial Investment",36,1.67,,,,418,04/10/2023,United States,Lip sync & video personalization, , , ,x
Elicit,elicit.com,"Elicit focuses on automating research tasks using artificial intelligence, operating within the domain of academic research and machine learning. The company offers services that enable users to summarize academic papers, extract data, and synthesize findings to facilitate efficient research. Elicit primarily serves researchers and academic professionals seeking to expedite literature reviews, systematic reviews, and meta-analyses. It was founded in 2023 and is based in Covina, California.",Horizontal applications,Seed VC,25/09/2023,9,"Ought, Basis Set, Fifty Years, Illusionist Group, Jeff Dean, Thomas Ebeling",36.32,9,Spinoff / Spinout,01/01/2023,Ought,498,20/02/2024,United States,Text summarization,x, , , 
Verta,verta.ai,"Verta is a company focused on accelerating generative AI application development and providing model management solutions for the AI and machine learning industry. Their platform offers a suite of tools for enterprise model inventory, AI portfolio management, model lifecycle management, and ensuring compliance with AI regulations. Its services cater to various sectors including insurance, financial services, and business collaboration platforms. It was founded in 2018 and is based in Menlo Park, California. In June 2024, Verta was acquired by Cloudera.",,Series A,25/08/2020,11.7,"General Catalyst, Intel Capital, Cloudera",36.9,10,Acquired,03/06/2024,"Cloudera, Alimak Group",,23/08/2024,United States,,,,,
Wonder Dynamics,wonderdynamics.com,"Wonder Dynamics focuses on the film and entertainment industry. The company offers an artificial intelligence (AI) tool that automates the animation, lighting, and characters into live-action scenes, simplifying the process of visual effects production. Its primary customers are independent filmmakers looking to deliver visual effects on a budget. It was formerly known as Aether. It was founded in 2017 and is based in West Hollywood, California. In May 2024, Wonder Dynamics was acquired by Autodesk.",Horizontal applications,Series A,08/12/2021,12.5,"Capital Factory, Cyan Banister, Founders Fund, MaC Venture Capital, Realize Tech Fund, Robert Schwab, Epic Games, Horizon Ventures, Samsung NEXT, Autodesk",35.41,10,Acquired,21/05/2024,Autodesk,,04/10/2023,United States,Photo & video editing tools, , , ,x
Wraithwatch,wraithwatch.com,"Wraithwatch focuses on cybersecurity, operating within the technology and defense sectors. The company's main offerings include the development of defense systems against cyber weapons, with a proactive approach to understanding and countering novel and emerging cyber-attacks. Wraithwatch primarily serves the defense and technology industries. It was founded in 2023 and is based in Bozeman, Montana.",Horizontal applications,Seed VC,02/11/2023,8,"Founders Fund, Human Capital, XYZ Ventures",35.98,8,,,,571,16/02/2024,United States,Cybersecurity, , , , 
Reken,reken.ai,"Reken focuses on developing a new type of AI platform aimed at protecting against generative AI threats within the technology sector. The company offers products that provide security solutions to identify and mitigate risks associated with generative AI.  It was founded in 2024 and is based in San Francisco, California.",Horizontal applications,Seed VC,31/01/2024,10,"FPV Ventures, Fika Ventures, Firebolt Ventures, Greycroft, Homebrew, Jazz Venture Partners, Obvious Ventures, Omega Venture Partners, Sequoia Capital",35.55,10,,,,744,21/02/2024,United States,Cybersecurity,,,,
ROSS Intelligence,rossintelligence.com,"ROSS Intelligence is a global leader in the field of Legal Technologies, with a focus on artificial intelligence solutions. The company's main service involves using advanced Natural Language Processing (NLP) technology to provide accurate answers to legal research questions in a quick and efficient manner. It was founded in 2015 and is based in Palo Alto, California.",Legal,Series A,11/10/2017,8.82,"Y Combinator, ACE & Company, Comcast Ventures, Hedgewood, Inovia Capital, NextLaw Labs, Kima Ventures, Nicolas Pinto, Real Ventures",34.96,8.7,,,,368,04/10/2023,United States,Case search & summarization,x, , , 
Etched,etched.com,"Etched focuses on developing the transformer supercomputer, specializing in the high-performance computing sector. Their main offering includes powerful servers designed for transformer inference, which are capable of processing extensive data for applications such as real-time voice agents and content generation. The company's products are aimed at supporting complex computational tasks like running trillion parameter models and are complemented by a fully open-source software stack. It was founded in 2022 and is based in Menlo Park, California.",Horizontal applications,Series A,25/06/2024,125.36,"Primary Venture Partners, Balaji Srinivasan, Earthshot Ventures, Fontinalis Partners, Fundomo, HummingBird, Kyle Vogt, Lightscape Partners, Peter Thiel, Positive Sum, Skybox Capital, Stanley Druckenmiller, Thomas Dohmke, Two Sigma",34,120,,,,673,04/10/2023,United States,Generative AI processor, , , , 
Kognitos,kognitos.com,"Kognitos develops an artificial intelligence (AI) platform that helps organizations with business processes. The company offers products such as language processing automation (NLPA) and Large language models (LLMs) to help business users in analyzing everyday workflows. Kognitos was founded in 2020 and is based in San Jose, California.",Horizontal applications,Series A - II,08/05/2024,28.97,"Clear Ventures, Engineering Capital, Wipro Ventures, Khosla Ventures",34.21,,,,,754,21/02/2024,United States,Productivity & knowledge management,,,,
Vevo Therapeutics,vevo.ai,"Vevo Therapeutics is a biotechnology company focused on drug discovery using in vivo data and artificial intelligence. The company offers a platform that enables scalable generation of in vivo data with single-cell precision, aiming to improve the drug discovery process by incorporating patient diversity and capturing the in vivo context of disease. Vevo Therapeutics' main service is the creation of a large-scale in vivo atlas to analyze how drugs interact with patient cells, which is used to train AI models for identifying novel drug targets and candidates. It was founded in 2022 and is based in San Francisco, California.",,Incubator/Accelerator,24/05/2023,12,"AIX Ventures, Camford Capital, General Catalyst, Mubadala Capital, Wing Venture Capital, AWS Generative AI Accelerator",34.37,,,,,501,26/09/2024,United States,,,,,
Thankful,thankful.ai,"Thankful provides generative artificial intelligence (AI) and no-code automation solutions. It offers multichannel customer service automation and Customer satisfaction (CSAT) business intelligence solutions. The company was founded in 2016 and is based in Venice, California. In July 2023, Thankful was acquired by Gladly.",Horizontal applications,Series A,27/09/2021,12,"Bonfire Ventures, Alpha Edison, Greycroft, Miramar Digital Ventures, Omega Capital, TenOneTen Ventures, Gladly",33.02,12,Acquired,13/07/2023,Gladly,,04/10/2023,United States,Customer support,x, , , 
Turbine,turbine.ai,"Turbine focuses on using in simulated cell technology and machine learning to accelerate drug discovery and development. The company offers a predictive simulation platform that models patient biology to understand cancer mechanisms, identify novel targets, and predict treatment responses. It primarily serves the biopharmaceutical industry, aiming to inform and validate experiments that uncover disease-driving hidden effects and facilitate the development of novel therapies. The company was founded in 2016 and is based in London, United Kingdom.",,Incubator/Accelerator - II,17/09/2024,36.79,"Budapest University of Technology and Economics, Atlantic Labs, Delin Ventures, Esther Dyson, O2h Ventures, Vishal Gulati, EIT Health Gold Track, Accel, Boston Millennia Partners, XTX Ventures, Day One Capital, MSD Global Health Innovation Fund, Mercia Asset Management, MassMutual Ventures, Accenture Ventures, AWS Generative AI Accelerator",33.2,,Spinoff / Spinout,01/01/2015,Budapest University of Technology and Economics,718,26/09/2024,United Kingdom,,,,,
GenHealth AI,genhealth.ai,"GenHealth AI specializes in generative artificial intelligence within the healthcare domain. The company offers solutions for automating prior authorization, managing population health, and providing insights into healthcare economics and patient care quality. Its products are primarily utilized by entities in the healthcare industry, including insurance plans, pharmaceutical companies, healthcare providers, and life sciences organizations. The company was founded in 2023 and is based in Vienna, Virginia.",Healthcare & life sciences,Incubator/Accelerator,04/04/2024,13,"1upHealth, Craft Ventures, Obvious Ventures, Plug and Play Alberta",32.49,,Spinoff / Spinout,01/01/2023,1upHealth,628,04/10/2023,United States,Model developer, , , , 
Procurement Sciences AI,procurementsciences.com,"Procurement Sciences AI specializes in artificial intelligence solutions for the government contracting sector. The company offers a suite of artificial intelligence (AI) enabled applications designed for proposal generation, match contractors with government opportunities, analyze documents, and assist in bid and no-bid decision making. It primarily serves government contractors seeking to manage their probability of winning contracts and operational efficiency. It was founded in 2022 and is based in Dunstable, Massachusetts.",,Series A,09/04/2024,10,"Battery Ventures, Blu Venture Investors, K Street Capital, Tower Research Capital",32.96,10,,,,625,24/04/2024,United States,,,,,
WhyLabs,whylabs.ai,"WhyLabs operates as a company focusing on artificial intelligence (AI) observability, operating in the technology and data analytics sectors. The company offers a platform that monitors the quality and performance of machine learning models and data pipelines, enabling users to detect data and ML issues faster, deliver continuous improvements, and avoid costly incidents. WhyLabs primarily serves sectors such as financial services, logistics and manufacturing, retail and e-commerce, and healthcare. It was founded in 2019 and is based in Seattle, Washington.",Generative AI infrastructure,Series A,04/11/2021,14,"Allen Institute for Artificial Intelligence, Ascend, Bezos Expeditions, Defy Partners, Madrona Venture Group, AI Fund",30.64,10,,,Allen Institute for Artificial Intelligence,614,04/10/2023,United States,LLMOps, , , , 
